序号,时间(s),电压,阻抗
62,7.708,-1.360466197767454,7340.340332
63,7.834,-1.3605841982517572,7344.861328
64,7.96,-1.3599745047391054,7341.091797
65,8.086,-1.35875724630874,7339.062012
66,8.212,-1.3571957567573971,7340.409668
67,8.338,-1.355645778137011,7341.547852
68,8.464,-1.3544692412869046,7343.571289
69,8.59,-1.3539362442274288,7341.410156
70,8.716,-1.3541455936201892,7340.834473
71,8.842,-1.3549926630543998,7340.674805
72,8.968,-1.3562003989628162,7339.155273
73,9.094,-1.3574065274530254,7343.57959
74,9.22,-1.3582781971359914,7337.729492
75,9.346,-1.3586146785386382,7340.940918
76,9.472,-1.3584017931639307,7339.302246
77,9.598,-1.3577988263549687,7342.124023
78,9.724,-1.3570665417474743,7335.448242
79,9.85,-1.3564691567134728,7338.337402
80,9.976,-1.3561888639555917,7338.563477
81,10.102,-1.3562806926569044,7339.422363
82,10.228,-1.356679321779265,7338.488281
83,10.354,-1.3572511262568518,7339.14209
84,10.48,-1.3578660320931275,7338.519043
85,10.606,-1.3584551752238947,7339.287109
86,10.732,-1.3590293989340005,7338.525391
87,10.858,-1.3596539791349536,7337.339844
88,10.984,-1.3603942283780077,7338.544434
89,11.11,-1.361256480737363,7339.674316
90,11.236,-1.3621485135994638,7339.762695
91,11.361,-1.362876669939193,7338.556152
92,11.488,-1.3631858534834627,7339.140137
93,11.614,-1.3628336437688058,7339.227539
94,11.739,-1.3616763840723165,7340.06543
95,11.866,-1.3597392706486713,7336.036621
96,11.991,-1.3572433557432078,7340.75
97,12.118,-1.354569495318508,7337.787598
98,12.243,-1.3521581261824651,7341.413086
99,12.37,-1.3503730728796524,7335.864258
100,12.496,-1.3493816142249535,7337.197754
101,12.621,-1.3491040461224824,7340.81543
102,12.748,-1.349258484080709,7337.043945
103,12.873,-1.349482896850618,7340.629395
104,12.999,-1.3494813820576235,7340.554688
105,13.126,-1.3491337673783421,7339.280273
106,13.251,-1.3485248488221895,7333.526855
107,13.377,-1.347881941412682,7338.373047
108,13.504,-1.3474489903844773,7340.577637
109,13.63,-1.3473565217307044,7339.178711
110,13.756,-1.3475483961481711,7339.114746
111,13.881,-1.3477966781630932,7337.139648
112,14.007,-1.3477951436985316,7337.275391
113,14.133,-1.3472898084782754,7338.599609
114,14.26,-1.3461909181198954,7341.344238
115,14.385,-1.3446199199743392,7336.101563
116,14.511,-1.342873773434417,7343.222656
117,14.638,-1.3413232418151693,7339.601074
118,14.763,-1.3402866475292443,7340.842773
119,14.889,-1.3399280107697003,7341.116699
120,15.015,-1.3402170281483288,7339.708984
121,15.141,-1.3409633775378187,7342.211914
122,15.267,-1.3419079492069195,7343.827637
123,15.393,-1.342827637373753,7338.248535
124,15.52,-1.3436030076464243,7340.026855
125,15.646,-1.3442213390073694,7340.334961
126,15.771,-1.3447270815517278,7338.096191
127,15.897,-1.3451567230766026,7336.266602
128,16.023,-1.345494064491426,7344.30957
129,16.149,-1.3456660181813638,7339.072266
130,16.275,-1.3455771285900024,7340.213867
131,16.401,-1.3451601439919023,7341.712891
132,16.527,-1.3444140454589373,7342.039551
133,16.653,-1.343413800202779,7335.439453
134,16.779,-1.3422930559914514,7339.731445
135,16.905,-1.3412097861666528,7339.835449
136,17.031,-1.3403068234748843,7341.090332
137,17.158,-1.339678372715871,7339.986328
138,17.283,-1.3393521571638833,7339.98291
139,17.409,-1.3392956689992914,7339.485352
140,17.535,-1.3394491885767672,7339.654785
141,17.661,-1.3397736663489979,7341.147949
142,17.787,-1.3402873143666443,7337.813477
143,17.913,-1.341065042849858,7342.31543
144,18.039,-1.3421926460027434,7344.023926
145,18.165,-1.3436950853443035,7337.361328
146,18.291,-1.3454810338007006,7339.452148
