序号,时间(s),电压(V)
173,0.71200000,-2.920000
174,0.71600000,-4.120000
175,0.72000000,-1.000000
176,0.72400000,-2.200000
177,0.72800000,-1.400000
178,0.73200000,-3.120000
179,0.73600000,-1.760000
180,0.74000000,-4.120000
181,0.74400000,-0.880000
182,0.74800000,-2.760000
183,0.75200000,-2.680000
184,0.75600000,-4.040000
185,0.76000000,-1.200000
186,0.76400000,-2.800000
187,0.76800000,-1.360000
188,0.77200000,-3.480000
189,0.77600000,-1.800000
190,0.78000000,-4.040000
191,0.78400000,-1.080000
192,0.78800000,-2.560000
193,0.79200000,-2.800000
194,0.79600000,-4.080000
195,0.80000000,-1.120000
196,0.80400000,-2.960000
197,0.80800000,-1.040000
198,0.81200000,-3.200000
199,0.81600000,-1.520000
200,0.82000000,-4.320000
201,0.82400000,-1.000000
202,0.82800000,-2.680000
203,0.83200000,-2.720000
204,0.83600000,-3.920000
205,0.84000000,-1.040000
206,0.84400000,-2.600000
207,0.84800000,-1.120000
208,0.85200000,-3.160000
209,0.85600000,-1.800000
210,0.86000000,-4.240000
211,0.86400000,-0.960000
212,0.86800000,-2.680000
213,0.87200000,-2.920000
214,0.87600000,-4.280000
215,0.88000000,-1.080000
216,0.88400000,-2.520000
217,0.88800000,-1.760000
218,0.89200000,-3.400000
219,0.89600000,-1.800000
220,0.90000000,-4.160000
221,0.90400000,-1.040000
222,0.90800000,-2.560000
223,0.91200000,-2.880000
224,0.91600000,-3.800000
225,0.92000000,-1.160000
226,0.92400000,-2.640000
227,0.92800000,-1.240000
228,0.93200000,-3.280000
229,0.93600000,-2.000000
230,0.94000000,-4.480000
231,0.94400000,-1.400000
232,0.94800000,-2.760000
233,0.95200000,-2.840000
234,0.95600000,-4.480000
235,0.96000000,-1.280000
236,0.96400000,-2.720000
237,0.96800000,-1.440000
238,0.97200000,-3.560000
239,0.97600000,-1.960000
240,0.98000000,-4.360000
241,0.98400000,-1.000000
242,0.98800000,-2.720000
243,0.99200000,-2.560000
244,0.99600000,-4.240000
245,1.00000000,-1.200000
246,1.00400000,-2.960000
247,1.00800000,-1.120000
248,1.01200000,-3.320000
249,1.01600000,-1.800000
250,1.02000000,-4.080000
251,1.02400000,-1.160000
252,1.02800000,-2.680000
253,1.03200000,-2.760000
254,1.03600000,-4.280000
255,1.04000000,-1.280000
256,1.04400000,-2.480000
257,1.04800000,-0.960000
258,1.05200000,-3.320000
259,1.05600000,-1.800000
260,1.06000000,-4.440000
261,1.06400000,-0.960000
262,1.06800000,-3.000000
263,1.07200000,-2.840000
264,1.07600000,-4.240000
265,1.08000000,-1.200000
266,1.08400000,-2.640000
267,1.08800000,-1.240000
268,1.09200000,-3.400000
269,1.09600000,-2.160000
270,1.10000000,-4.360000
271,1.10400000,-1.160000
272,1.10800000,-2.880000
273,1.11200000,-2.880000
274,1.11600000,-4.200000
275,1.12000000,-1.280000
276,1.12400000,-2.480000
277,1.12800000,-1.200000
278,1.13200000,-3.200000
279,1.13600000,-1.600000
280,1.14000000,-4.480000
281,1.14400000,-1.040000
282,1.14800000,-2.320000
283,1.15200000,-2.560000
284,1.15600000,-4.280000
285,1.16000000,-1.320000
286,1.16400000,-2.640000
287,1.16800000,-1.080000
288,1.17200000,-3.280000
289,1.17600000,-1.920000
290,1.18000000,-4.280000
291,1.18400000,-1.080000
292,1.18800000,-2.520000
293,1.19200000,-2.520000
294,1.19600000,-4.480000
295,1.20000000,-1.360000
296,1.20400000,-2.880000
297,1.20800000,-1.160000
298,1.21200000,-3.480000
299,1.21600000,-1.960000
300,1.22000000,-4.480000
301,1.22400000,-1.040000
302,1.22800000,-2.680000
303,1.23200000,-2.600000
304,1.23600000,-4.160000
305,1.24000000,-1.360000
306,1.24400000,-2.960000
307,1.24800000,-0.960000
308,1.25200000,-3.520000
309,1.25600000,-2.040000
310,1.26000000,-4.280000
311,1.26400000,-1.000000
312,1.26800000,-2.560000
313,1.27200000,-2.760000
314,1.27600000,-4.200000
315,1.28000000,-1.280000
316,1.28400000,-2.600000
317,1.28800000,-1.280000
318,1.29200000,-3.440000
319,1.29600000,-1.920000
320,1.30000000,-4.320000
321,1.30400000,-0.720000
322,1.30800000,-2.920000
323,1.31200000,-2.840000
324,1.31600000,-4.320000
325,1.32000000,-1.040000
326,1.32400000,-2.680000
327,1.32800000,-0.720000
328,1.33200000,-3.600000
329,1.33600000,-2.040000
330,1.34000000,-3.920000
331,1.34400000,-1.080000
332,1.34800000,-2.920000
333,1.35200000,-2.680000
334,1.35600000,-4.480000
335,1.36000000,-1.240000
336,1.36400000,-2.920000
337,1.36800000,-0.800000
338,1.37200000,-3.480000
339,1.37600000,-1.960000
340,1.38000000,-3.840000
341,1.38400000,-0.800000
342,1.38800000,-2.760000
343,1.39200000,-2.800000
344,1.39600000,-3.680000
345,1.40000000,-1.400000
346,1.40400000,-2.600000
347,1.40800000,-1.040000
348,1.41200000,-3.360000
349,1.41600000,-2.080000
350,1.42000000,-4.080000
351,1.42400000,-0.880000
352,1.42800000,-2.800000
353,1.43200000,-2.800000
354,1.43600000,-4.000000
355,1.44000000,-1.360000
356,1.44400000,-2.800000
357,1.44800000,-1.040000
358,1.45200000,-3.200000
359,1.45600000,-2.160000
360,1.46000000,-3.640000
361,1.46400000,-1.200000
362,1.46800000,-2.920000
363,1.47200000,-2.760000
364,1.47600000,-3.720000
365,1.48000000,-1.120000
366,1.48400000,-2.760000
367,1.48800000,-1.320000
368,1.49200000,-3.080000
369,1.49600000,-2.040000
370,1.50000000,-3.760000
371,1.50400000,-1.400000
372,1.50800000,-2.760000
373,1.51200000,-2.760000
374,1.51600000,-3.720000
375,1.52000000,-1.400000
376,1.52400000,-3.280000
377,1.52800000,-1.320000
378,1.53200000,-3.040000
379,1.53600000,-2.080000
380,1.54000000,-3.320000
381,1.54400000,-1.160000
382,1.54800000,-2.520000
383,1.55200000,-2.640000
384,1.55600000,-3.200000
385,1.56000000,-1.840000
386,1.56400000,-2.920000
387,1.56800000,-1.840000
388,1.57200000,-2.880000
389,1.57600000,-2.320000
390,1.58000000,-3.200000
391,1.58400000,-1.840000
392,1.58800000,-2.680000
393,1.59200000,-2.440000
394,1.59600000,-2.840000
395,1.60000000,-2.240000
396,1.60400000,-2.520000
397,1.60800000,-2.160000
398,1.61200000,-2.720000
399,1.61600000,-2.400000
400,1.62000000,-2.920000
401,1.62400000,-2.200000
402,1.62800000,-2.560000
403,1.63200000,-2.400000
404,1.63600000,-2.720000
405,1.64000000,-2.320000
406,1.64400000,-2.560000
407,1.64800000,-2.120000
408,1.65200000,-2.760000
409,1.65600000,-2.120000
410,1.66000000,-2.680000
411,1.66400000,-2.080000
412,1.66800000,-2.600000
413,1.67200000,-2.480000
414,1.67600000,-2.680000
415,1.68000000,-2.280000
416,1.68400000,-2.640000
417,1.68800000,-1.920000
418,1.69200000,-2.560000
419,1.69600000,-2.480000
420,1.70000000,-2.800000
421,1.70400000,-2.080000
422,1.70800000,-2.840000
423,1.71200000,-2.400000
424,1.71600000,-2.600000
425,1.72000000,-2.040000
426,1.72400000,-2.560000
427,1.72800000,-2.160000
428,1.73200000,-2.680000
429,1.73600000,-2.400000
430,1.74000000,-2.800000
431,1.74400000,-2.320000
432,1.74800000,-2.680000
433,1.75200000,-2.400000
434,1.75600000,-2.720000
435,1.76000000,-2.240000
436,1.76400000,-2.560000
437,1.76800000,-2.280000
438,1.77200000,-2.640000
439,1.77600000,-2.360000
440,1.78000000,-2.800000
441,1.78400000,-2.200000
442,1.78800000,-2.600000
443,1.79200000,-2.320000
444,1.79600000,-2.720000
445,1.80000000,-2.240000
446,1.80400000,-2.600000
447,1.80800000,-2.160000
448,1.81200000,-2.640000
449,1.81600000,-2.360000
450,1.82000000,-2.760000
451,1.82400000,-2.160000
452,1.82800000,-2.760000
453,1.83200000,-2.480000
454,1.83600000,-2.800000
455,1.84000000,-2.320000
456,1.84400000,-2.640000
457,1.84800000,-2.240000
458,1.85200000,-2.720000
459,1.85600000,-2.320000
460,1.86000000,-2.760000
461,1.86400000,-2.280000
462,1.86800000,-2.680000
463,1.87200000,-2.440000
464,1.87600000,-2.680000
465,1.88000000,-2.280000
466,1.88400000,-2.680000
467,1.88800000,-2.320000
468,1.89200000,-2.680000
469,1.89600000,-2.320000
470,1.90000000,-2.720000
471,1.90400000,-2.200000
472,1.90800000,-2.560000
473,1.91200000,-2.440000
474,1.91600000,-2.720000
475,1.92000000,-2.360000
476,1.92400000,-2.720000
477,1.92800000,-2.320000
478,1.93200000,-2.640000
479,1.93600000,-2.080000
480,1.94000000,-2.800000
481,1.94400000,-2.240000
482,1.94800000,-2.560000
483,1.95200000,-2.480000
484,1.95600000,-2.880000
485,1.96000000,-2.200000
486,1.96400000,-2.680000
487,1.96800000,-2.120000
488,1.97200000,-2.600000
489,1.97600000,-2.120000
490,1.98000000,-2.760000
491,1.98400000,-2.280000
492,1.98800000,-2.720000
493,1.99200000,-2.240000
494,1.99600000,-2.720000
495,2.00000000,-2.200000
496,2.00400000,-2.640000
497,2.00800000,-2.160000
498,2.01200000,-2.560000
499,2.01600000,-2.000000
500,2.02000000,-2.800000
501,2.02400000,-2.120000
502,2.02800000,-2.640000
503,2.03200000,-2.320000
504,2.03600000,-2.720000
505,2.04000000,-2.320000
506,2.04400000,-2.920000
507,2.04800000,-2.240000
508,2.05200000,-2.720000
509,2.05600000,-2.160000
510,2.06000000,-2.800000
511,2.06400000,-2.280000
512,2.06800000,-2.640000
513,2.07200000,-2.360000
514,2.07600000,-2.640000
515,2.08000000,-2.200000
516,2.08400000,-2.560000
517,2.08800000,-2.320000
518,2.09200000,-2.640000
519,2.09600000,-2.400000
520,2.10000000,-2.800000
521,2.10400000,-2.160000
522,2.10800000,-2.680000
523,2.11200000,-2.480000
524,2.11600000,-2.720000
525,2.12000000,-2.320000
526,2.12400000,-2.760000
527,2.12800000,-2.080000
528,2.13200000,-2.600000
529,2.13600000,-2.400000
530,2.14000000,-2.920000
531,2.14400000,-1.920000
532,2.14800000,-2.480000
533,2.15200000,-2.360000
534,2.15600000,-2.760000
535,2.16000000,-2.200000
536,2.16400000,-2.720000
537,2.16800000,-2.080000
538,2.17200000,-2.560000
539,2.17600000,-2.360000
540,2.18000000,-2.760000
541,2.18400000,-2.360000
542,2.18800000,-2.560000
543,2.19200000,-2.320000
544,2.19600000,-2.760000
545,2.20000000,-2.240000
546,2.20400000,-2.560000
547,2.20800000,-2.160000
548,2.21200000,-2.560000
549,2.21600000,-2.360000
550,2.22000000,-2.800000
551,2.22400000,-2.200000
552,2.22800000,-2.840000
553,2.23200000,-2.360000
554,2.23600000,-2.800000
555,2.24000000,-2.160000
556,2.24400000,-2.640000
557,2.24800000,-2.200000
558,2.25200000,-2.560000
559,2.25600000,-2.280000
560,2.26000000,-2.560000
561,2.26400000,-2.240000
562,2.26800000,-2.600000
563,2.27200000,-2.360000
564,2.27600000,-2.800000
565,2.28000000,-2.320000
566,2.28400000,-2.800000
567,2.28800000,-2.240000
568,2.29200000,-2.680000
569,2.29600000,-2.240000
570,2.30000000,-2.640000
571,2.30400000,-2.200000
572,2.30800000,-2.760000
573,2.31200000,-2.400000
574,2.31600000,-2.640000
575,2.32000000,-2.040000
576,2.32400000,-2.600000
577,2.32800000,-2.160000
578,2.33200000,-2.880000
579,2.33600000,-2.280000
580,2.34000000,-2.800000
581,2.34400000,-2.080000
582,2.34800000,-2.600000
583,2.35200000,-2.400000
584,2.35600000,-2.920000
585,2.36000000,-2.320000
586,2.36400000,-2.800000
587,2.36800000,-2.080000
588,2.37200000,-2.640000
589,2.37600000,-2.320000
590,2.38000000,-2.680000
591,2.38400000,-2.200000
592,2.38800000,-2.680000
593,2.39200000,-2.400000
594,2.39600000,-2.800000
