序号,时间(s),电压,阻抗
250,31.477,1.272391,7307.248535
251,31.603,1.272667,7306.370117
252,31.729,1.272817,7305.152344
253,31.855,1.272917,7308.566895
254,31.981,1.272366,7307.977539
255,32.107,1.273417,7305.173828
256,32.233,1.272967,7305.152832
257,32.359,1.272191,7307.712402
258,32.485,1.273592,7309.094727
259,32.612,1.272667,7306.865723
260,32.737,1.272141,7308.497070
261,32.863,1.272642,7307.166016
262,32.989,1.272892,7308.180664
263,33.115,1.272466,7306.251953
264,33.241,1.272166,7304.965332
265,33.367,1.272917,7306.310547
266,33.493,1.272341,7306.978027
267,33.619,1.272817,7307.281250
268,33.745,1.272892,7308.803711
269,33.871,1.273167,7308.275391
270,33.997,1.272892,7301.721680
271,34.123,1.272917,7309.569336
272,34.249,1.273267,7307.991211
273,34.375,1.272767,7308.488281
274,34.501,1.272892,7310.213867
275,34.627,1.273643,7307.972168
276,34.755,1.272842,7312.423828
277,34.881,1.272516,7310.430176
278,35.005,1.272942,7306.964355
279,35.131,1.272892,7308.961914
280,35.257,1.271791,7305.777832
281,35.383,1.272416,7308.597656
282,35.509,1.272842,7306.931641
283,35.635,1.272617,7307.724121
284,35.761,1.272516,7307.098145
285,35.887,1.272842,7304.929688
286,36.013,1.272792,7310.327148
287,36.139,1.272892,7308.386719
288,36.265,1.273467,7309.478516
289,36.391,1.273117,7309.642090
290,36.517,1.272792,7311.302246
291,36.643,1.272842,7310.707031
292,36.769,1.273192,7309.216797
293,36.895,1.272466,7308.297852
294,37.021,1.272717,7306.199219
295,37.147,1.273192,7310.977539
296,37.273,1.273067,7306.167480
297,37.399,1.272767,7313.071777
298,37.524,1.272617,7309.226074
299,37.650,1.272817,7310.593750
300,37.777,1.272116,7312.578613
301,37.903,1.272441,7307.051758
302,38.029,1.272792,7311.499512
303,38.155,1.272416,7314.291504
304,38.281,1.272516,7307.094727
305,38.407,1.273267,7308.459473
306,38.533,1.272942,7309.251953
307,38.658,1.272416,7313.039063
308,38.785,1.272742,7307.721191
309,38.911,1.273042,7309.166016
310,39.037,1.273067,7308.121582
311,39.163,1.272942,7311.651367
312,39.289,1.273417,7305.179199
313,39.415,1.273117,7312.705078
314,39.541,1.273042,7308.635742
315,39.666,1.272942,7307.124512
316,39.793,1.272617,7307.654297
317,39.918,1.272391,7309.292969
318,40.044,1.273117,7305.687012
319,40.170,1.272917,7307.505371
320,40.296,1.272642,7308.387207
321,40.423,1.272717,7302.743652
322,40.549,1.272792,7307.354980
323,40.674,1.272466,7308.509277
324,40.800,1.272567,7307.772461
325,40.928,1.272567,7308.299805
326,41.052,1.273067,7307.539063
327,41.179,1.272466,7308.351563
328,41.305,1.272617,7307.996094
329,41.436,1.272516,7305.634766
330,41.556,1.272917,7307.739746
331,41.682,1.272016,7307.932129
332,41.808,1.273192,7304.902344
333,41.934,1.273167,7309.529785
334,42.060,1.272767,7309.771484
335,42.186,1.272717,7310.520020
336,42.312,1.273167,7308.452148
337,42.438,1.272842,7312.037598
338,42.564,1.272617,7306.060547
339,42.690,1.272667,7310.361328
340,42.816,1.272692,7310.536133
341,42.942,1.272667,7308.597168
342,43.068,1.272667,7310.957031
343,43.194,1.272967,7312.455078
344,43.321,1.272542,7314.060059
345,43.446,1.272642,7311.154785
346,43.572,1.273092,7311.631348
347,43.698,1.272516,7310.162109
348,43.824,1.272742,7305.780273
349,43.950,1.272416,7308.717773
350,44.076,1.272867,7309.003906
351,44.202,1.272817,7311.181641
352,44.328,1.273267,7312.337402
353,44.454,1.272942,7309.375488
354,44.580,1.272817,7310.417969
355,44.707,1.272692,7309.981934
356,44.832,1.272892,7311.260254
357,44.959,1.272491,7312.014648
358,45.084,1.272717,7313.782227
359,45.211,1.273217,7309.540527
360,45.336,1.273142,7309.974609
361,45.462,1.272692,7310.434082
362,45.588,1.273017,7311.623047
363,45.714,1.272917,7310.078613
364,45.840,1.272391,7310.312988
365,45.966,1.272742,7312.403320
366,46.092,1.272792,7310.064941
367,46.219,1.272116,7313.032227
368,46.346,1.271991,7312.817871
369,46.470,1.272942,7315.893555
370,46.596,1.272592,7310.959961
371,46.722,1.271791,7311.184082
372,46.848,1.272767,7311.910156
373,46.974,1.273092,7309.575195
374,47.100,1.272241,7309.738770
375,47.227,1.272792,7313.603027
376,47.352,1.272867,7308.859375
377,47.478,1.272416,7312.023438
378,47.604,1.272341,7310.127441
379,47.730,1.273117,7315.813965
380,47.856,1.272542,7304.874512
381,47.982,1.272692,7309.758301
382,48.108,1.272717,7310.007813
383,48.234,1.273292,7308.037598
384,48.360,1.272742,7306.353027
385,48.486,1.272942,7308.258789
386,48.612,1.273267,7311.331055
387,48.738,1.272967,7311.801270
388,48.864,1.272491,7314.824707
389,48.990,1.272592,7311.317383
390,49.116,1.272491,7310.274902
391,49.242,1.272316,7309.125000
392,49.368,1.272441,7309.823242
393,49.494,1.272516,7310.611816
394,49.620,1.272116,7315.476563
395,49.746,1.272767,7306.462402
396,49.872,1.272842,7311.919922
397,49.998,1.272592,7310.804199
398,50.124,1.272266,7314.075684
399,50.250,1.272516,7310.732422
400,50.376,1.272266,7311.945801
401,50.502,1.272416,7310.623047
402,50.628,1.271966,7310.120605
403,50.754,1.272166,7311.952637
404,50.880,1.272516,7312.819824
405,51.006,1.272166,7313.524902
406,51.132,1.272917,7311.198730
407,51.258,1.272967,7312.686035
408,51.384,1.272441,7313.550293
409,51.510,1.273117,7309.180664
410,51.636,1.272817,7314.250977
411,51.762,1.272191,7313.551270
412,51.888,1.273117,7313.686523
413,52.014,1.272516,7310.625488
414,52.140,1.272266,7315.703125
415,52.266,1.272767,7312.641602
416,52.392,1.273017,7314.108887
417,52.518,1.272992,7312.832520
418,52.644,1.272992,7316.286621
419,52.771,1.273067,7315.160645
420,52.896,1.273292,7310.499512
421,53.022,1.272466,7309.362305
422,53.148,1.272742,7310.332031
423,53.274,1.272316,7311.629395
424,53.400,1.272817,7313.426270
425,53.526,1.272491,7313.064453
426,53.651,1.272617,7308.642090
427,53.778,1.272742,7311.784668
428,53.904,1.272867,7310.192871
429,54.030,1.273067,7312.999512
430,54.155,1.272967,7313.176270
431,54.281,1.272191,7315.284668
432,54.408,1.272992,7312.760254
433,54.534,1.272967,7310.706543
434,54.659,1.272241,7308.983398
435,54.787,1.272617,7314.668457
436,54.913,1.272516,7309.471191
437,55.038,1.272592,7311.758789
438,55.164,1.271691,7312.270996
439,55.290,1.272592,7313.259766
440,55.416,1.272266,7312.900391
441,55.542,1.272166,7314.119141
442,55.668,1.272767,7311.345215
443,55.793,1.272667,7311.303223
444,55.919,1.272516,7310.457031
445,56.045,1.272542,7309.099609
446,56.171,1.272867,7313.948242
447,56.298,1.272516,7313.509766
448,56.423,1.272642,7312.689453
449,56.549,1.272567,7313.205566
450,56.675,1.272717,7309.926758
451,56.801,1.272466,7310.511230
452,56.927,1.272366,7310.271484
453,57.053,1.272567,7310.888184
454,57.180,1.272316,7311.527832
455,57.306,1.271766,7317.772949
456,57.432,1.273192,7317.957520
457,57.558,1.272842,7311.846191
458,57.683,1.272642,7313.189941
459,57.809,1.272542,7315.466797
460,57.935,1.272642,7312.035645
461,58.061,1.272617,7307.482422
462,58.187,1.272592,7311.987305
463,58.313,1.273317,7313.186523
464,58.439,1.272266,7311.535645
465,58.566,1.272892,7309.687012
466,58.691,1.273067,7315.742676
467,58.817,1.272491,7311.734863
468,58.944,1.272391,7313.055664
469,59.069,1.272642,7313.349121
470,59.195,1.273017,7315.408203
471,59.322,1.272917,7319.756348
472,59.447,1.272717,7316.383789
473,59.574,1.272917,7311.903809
474,59.699,1.272992,7313.269043
475,59.825,1.272817,7311.964355
476,59.951,1.272992,7304.230469
477,60.077,1.272792,7315.369629
478,60.203,1.272642,7311.786621
479,60.330,1.272341,7312.771484
480,60.455,1.273543,7317.096680
481,60.581,1.272441,7314.843262
482,60.707,1.272817,7315.291504
483,60.833,1.273117,7309.903809
484,60.959,1.272642,7311.827637
485,61.085,1.272266,7310.490234
486,61.214,1.273242,7311.044922
487,61.337,1.272341,7309.041504
488,61.463,1.272116,7313.122559
489,61.589,1.272817,7310.728027
490,61.715,1.273017,7311.506348
491,61.842,1.272391,7305.589355
492,61.967,1.272216,7317.147949
493,62.093,1.272817,7310.907227
494,62.219,1.272116,7312.156738
495,62.345,1.272066,7312.567871
496,62.474,1.272992,7310.862793
497,62.597,1.272391,7306.609375
498,62.723,1.272166,7309.535156
499,62.849,1.272567,7314.067383
500,62.975,1.272391,7314.202637
501,63.101,1.272441,7312.478027
502,63.228,1.272667,7311.773926
503,63.353,1.272692,7311.811035
504,63.479,1.272592,7313.307617
505,63.605,1.272416,7315.259766
506,63.731,1.272842,7312.613281
507,63.857,1.272592,7312.745605
508,63.984,1.272216,7311.739258
509,64.110,1.272216,7312.894043
510,64.235,1.272692,7314.565918
511,64.361,1.271866,7315.079102
512,64.487,1.272441,7314.698242
513,64.613,1.272742,7315.643066
514,64.739,1.272266,7312.349609
515,64.865,1.272266,7313.140625
516,64.991,1.272341,7313.878906
517,65.117,1.272667,7315.696289
518,65.243,1.272116,7317.616699
519,65.369,1.272567,7313.143066
520,65.495,1.273167,7311.718262
521,65.621,1.272441,7310.375000
522,65.747,1.272316,7315.648438
523,65.873,1.272742,7313.614746
524,65.999,1.272366,7313.246582
525,66.125,1.272166,7311.096191
526,66.251,1.272266,7311.935547
527,66.377,1.272266,7311.944336
528,66.503,1.272191,7311.943848
529,66.630,1.272166,7311.710938
530,66.754,1.272291,7313.919434
531,66.881,1.272416,7311.361816
532,67.007,1.272066,7310.641113
533,67.133,1.272491,7316.134277
534,67.259,1.272842,7314.069336
535,67.385,1.272341,7312.697754
536,67.511,1.272692,7314.259766
537,67.637,1.272316,7314.488281
538,67.763,1.271766,7313.356934
539,67.889,1.272516,7316.223633
540,68.015,1.272366,7312.406250
541,68.141,1.272241,7310.538574
542,68.267,1.272041,7311.752930
543,68.393,1.272592,7307.423340
544,68.519,1.272291,7309.780762
545,68.656,1.272041,7311.831543
546,68.770,1.272592,7312.954590
547,68.897,1.272717,7312.497070
548,69.023,1.272291,7314.971680
549,69.149,1.271841,7310.566895
550,69.274,1.272742,7312.639160
551,69.401,1.272216,7310.897949
552,69.526,1.272066,7310.770996
553,69.653,1.272617,7314.583496
554,69.778,1.272116,7311.408203
555,69.905,1.272166,7313.063965
556,70.031,1.272667,7311.633789
557,70.157,1.272491,7311.664063
558,70.283,1.271766,7312.839355
559,70.409,1.272366,7310.910645
560,70.534,1.272642,7312.506348
561,70.661,1.272441,7310.541504
562,70.787,1.272041,7309.923828
563,70.913,1.272391,7301.211914
564,71.039,1.272642,7312.136719
565,71.165,1.271966,7311.945801
566,71.291,1.272066,7314.555176
567,71.417,1.272842,7313.853027
568,71.542,1.271966,7308.418945
569,71.669,1.272066,7313.699219
570,71.794,1.272692,7312.289063
571,71.921,1.272191,7314.385742
572,72.046,1.272291,7310.735840
573,72.172,1.272441,7312.796875
574,72.299,1.272091,7313.954590
575,72.425,1.272567,7312.727539
576,72.550,1.272542,7314.467773
577,72.676,1.272842,7311.020020
578,72.803,1.272466,7312.207031
579,72.928,1.272341,7314.815918
580,73.054,1.272892,7313.746582
581,73.181,1.272466,7313.904785
582,73.306,1.272967,7312.861816
583,73.434,1.272792,7310.493652
584,73.558,1.272842,7314.954102
585,73.684,1.272391,7313.452637
586,73.811,1.272767,7314.550293
587,73.936,1.272767,7312.771484
588,74.062,1.272241,7313.559570
589,74.188,1.272717,7316.747070
590,74.314,1.272416,7313.109863
591,74.440,1.272016,7312.961426
592,74.566,1.272867,7312.068359
593,74.692,1.272516,7310.555176
594,74.818,1.272366,7310.967773
595,74.944,1.272041,7312.974609
596,75.072,1.272717,7311.786621
597,75.196,1.272817,7309.418457
598,75.322,1.272416,7311.636719
599,75.448,1.272867,7314.885254
600,75.574,1.272617,7313.095215
601,75.701,1.272191,7315.867188
602,75.826,1.272341,7312.790527
603,75.952,1.273067,7312.195801
604,76.078,1.272642,7312.443848
605,76.204,1.272491,7315.086426
606,76.330,1.272391,7313.152832
607,76.456,1.273142,7314.152832
608,76.582,1.272742,7312.039551
609,76.708,1.273217,7312.299316
610,76.835,1.272592,7314.066406
611,76.960,1.272742,7313.140625
612,77.086,1.272817,7310.062988
613,77.212,1.272792,7318.813477
614,77.338,1.272692,7310.399902
615,77.464,1.271966,7314.613770
616,77.591,1.272917,7313.493164
617,77.716,1.272717,7317.478027
618,77.842,1.272542,7315.576660
619,77.968,1.272141,7314.996094
620,78.094,1.272942,7313.097656
621,78.220,1.272141,7313.295898
622,78.348,1.271941,7315.079590
623,78.472,1.272592,7308.420898
624,78.598,1.272491,7314.560059
625,78.724,1.271941,7313.167969
626,78.851,1.272542,7313.538086
627,78.976,1.272266,7313.271973
628,79.102,1.271816,7316.675293
629,79.229,1.272592,7311.905273
630,79.354,1.272917,7313.405273
631,79.480,1.272141,7312.448242
632,79.606,1.272091,7313.895996
633,79.733,1.272842,7311.246582
634,79.858,1.272567,7312.640625
635,79.984,1.272366,7313.624023
636,80.110,1.272191,7315.113770
637,80.236,1.272291,7317.768555
638,80.362,1.271741,7310.208496
639,80.488,1.272341,7310.908203
640,80.614,1.272241,7314.637695
641,80.740,1.272366,7314.463867
642,80.866,1.272592,7316.886230
643,80.992,1.272466,7312.719727
644,81.119,1.272216,7316.452637
645,81.244,1.272216,7313.293945
646,81.370,1.272516,7315.539063
647,81.496,1.272491,7315.592285
648,81.622,1.272391,7314.847168
649,81.748,1.272516,7314.443848
650,81.877,1.272717,7314.114258
651,82.000,1.272341,7314.917480
652,82.126,1.272241,7313.769531
653,82.252,1.272742,7314.229492
654,82.378,1.272617,7309.405762
655,82.504,1.272366,7313.888184
656,82.630,1.272667,7314.889648
657,82.755,1.272592,7316.593750
658,82.882,1.272917,7315.435059
659,83.008,1.272066,7318.703125
660,83.134,1.272942,7314.787109
661,83.260,1.272767,7311.711426
662,83.386,1.272516,7315.477051
663,83.512,1.272792,7318.833008
664,83.638,1.272617,7313.220215
665,83.765,1.272266,7312.622559
666,83.890,1.272316,7314.227051
667,84.016,1.273042,7315.447754
668,84.142,1.272717,7309.190918
669,84.268,1.272441,7316.419922
670,84.394,1.272667,7314.672852
671,84.520,1.272291,7312.402832
672,84.646,1.272416,7318.139648
673,84.772,1.272491,7314.144043
674,84.898,1.273117,7315.429688
675,85.024,1.271941,7313.544922
676,85.149,1.272667,7314.027832
677,85.276,1.272892,7313.948242
678,85.402,1.272341,7318.476563
679,85.527,1.272241,7312.637207
680,85.654,1.272742,7314.286133
681,85.780,1.272266,7312.460449
682,85.906,1.272441,7309.609863
683,86.031,1.272366,7313.092773
684,86.158,1.272416,7315.313965
685,86.283,1.272316,7313.521484
686,86.410,1.272141,7312.090820
687,86.535,1.272742,7312.752441
688,86.661,1.272291,7314.315430
689,86.788,1.272116,7316.081543
690,86.915,1.272867,7313.989258
691,87.040,1.272241,7312.713867
692,87.166,1.272166,7316.045410
693,87.291,1.272091,7320.187988
694,87.418,1.271991,7311.954590
695,87.543,1.272066,7315.682129
696,87.669,1.272366,7310.541504
697,87.795,1.272542,7314.100586
698,87.921,1.272091,7316.627930
699,88.048,1.272842,7311.253418
700,88.173,1.273167,7311.927246
701,88.299,1.272391,7312.308105
702,88.425,1.272491,7311.436523
703,88.551,1.272491,7315.634766
704,88.678,1.272516,7314.335938
705,88.804,1.272391,7312.048340
706,88.930,1.272366,7315.347656
707,89.055,1.273117,7310.454590
708,89.182,1.272191,7317.812012
709,89.310,1.272041,7313.824707
710,89.433,1.272466,7313.048828
711,89.559,1.272266,7313.727051
712,89.686,1.272567,7314.863281
713,89.812,1.272416,7315.079102
714,89.937,1.272091,7313.706055
715,90.063,1.272341,7313.443848
716,90.190,1.272366,7315.081543
717,90.316,1.272491,7312.972656
718,90.442,1.272166,7313.875488
719,90.567,1.272141,7314.146484
720,90.693,1.272717,7314.342285
721,90.819,1.272266,7313.818848
722,90.945,1.272091,7314.241699
723,91.071,1.272667,7311.070801
724,91.197,1.272567,7313.136230
725,91.323,1.272416,7314.092285
726,91.449,1.272767,7317.325195
727,91.575,1.273017,7315.817871
728,91.701,1.272391,7314.928711
729,91.827,1.272592,7314.080566
730,91.953,1.272667,7314.141602
731,92.079,1.272792,7313.720703
732,92.205,1.272016,7316.666016
733,92.331,1.272867,7307.604492
734,92.457,1.272542,7312.077637
735,92.583,1.272391,7313.222656
736,92.709,1.272466,7311.537598
737,92.835,1.272341,7315.986816
738,92.961,1.271966,7314.127441
739,93.087,1.272166,7313.472656
740,93.214,1.272592,7312.576172
741,93.339,1.271791,7312.331543
742,93.465,1.272617,7310.756836
743,93.591,1.272391,7312.379883
744,93.717,1.271941,7312.634277
745,93.843,1.272366,7311.207031
746,93.969,1.272366,7312.308105
747,94.095,1.272892,7312.839844
748,94.221,1.272016,7316.977051
749,94.347,1.271916,7314.001465
750,94.473,1.273568,7314.371094
751,94.599,1.272491,7313.364746
