序号,时间(s),电压,阻抗
1366,170.714,-1.796243262704072,6807.047363
1367,170.838,-1.794472480385316,6807.283691
1368,170.963,-1.792974165010843,6807.803711
1369,171.089,-1.792005841530945,6808.046387
1370,171.213,-1.791739704608874,6808.046387
1371,171.338,-1.7922312095762412,6808.375977
1372,171.463,-1.7933922942971852,6808.164551
1373,171.588,-1.7949747272444048,6807.650391
1374,171.713,-1.7965877292524808,6807.349609
1375,171.838,-1.7977663211568182,6808.530762
1376,171.964,-1.7980733605965253,6807.892578
1377,172.088,-1.7972026228239004,6808.22998
1378,172.213,-1.7950653216959183,6807.833008
1379,172.338,-1.7918518660098637,6808.046387
1380,172.463,-1.7880481084216735,6808.046387
1381,172.588,-1.7843805053089736,6809.102539
1382,172.713,-1.7816863244686645,6809.681641
1383,172.838,-1.7807328150798443,6809.044922
1384,172.963,-1.7820244430513483,6808.984863
1385,173.088,-1.7856456324385819,6808.835938
1386,173.213,-1.7911876129523503,6807.714844
1387,173.339,-1.7977877959148811,6808.654785
1388,173.463,-1.8042760658987607,6809.137207
1389,173.588,-1.8094025601404895,6807.625977
1390,173.713,-1.8121155110289464,6805.902344
1391,173.838,-1.8118345675511058,6806.108887
1392,173.964,-1.8086270617840872,6806.924805
1393,174.088,-1.803197344339806,6806.835938
1394,174.213,-1.796674333792529,6806.263184
1395,174.338,-1.7902788555370939,6806.439941
1396,174.463,-1.7849967994204938,6806.321777
1397,174.588,-1.781364508723197,6806.834473
1398,174.713,-1.7794193793592015,6807.560547
1399,174.838,-1.7788026034009756,6806.439453
1400,174.963,-1.7789468249873728,6807.378906
1401,175.088,-1.7792727947775235,6806.807129
1402,175.213,-1.779350621344303,6807.472656
1403,175.338,-1.7790049881093117,6806.894531
1404,175.463,-1.7783406337081762,6806.775879
1405,175.588,-1.77767035894685,6807.289063
1406,175.713,-1.777366265255787,6806.806152
1407,175.838,-1.7776936535652554,6807.53125
1408,175.963,-1.7786895394045428,6808.199219
1409,176.089,-1.780123197855834,6807.077637
1410,176.213,-1.7815490599463137,6806.174316
1411,176.338,-1.782433747556567,6806.806152
1412,176.463,-1.782309928288818,6807.443848
1413,176.588,-1.780903323907029,6806.864746
1414,176.713,-1.7782044209406942,6807.502441
1415,176.838,-1.7744824133477732,6807.743652
1416,176.963,-1.770241741970215,6807.65625
1417,177.088,-1.7661215592323636,6807.201172
1418,177.213,-1.762758064261844,6807.685547
1419,177.338,-1.760649649704863,6807.384277
1420,177.463,-1.76005853216982,6807.685547
1421,177.587,-1.7609633574174475,6806.98877
1422,177.713,-1.7630708277490577,6807.319336
1423,177.838,-1.7658906118054216,6807.897949
1424,177.963,-1.7688555817345952,6807.260254
1425,178.088,-1.7714451172599142,6807.384766
1426,178.213,-1.7732721446999018,6807.533203
1427,178.338,-1.7741168828209797,6807.319336
1428,178.463,-1.7739076014051738,6807.017578
1429,178.588,-1.7726643557956485,6807.472168
1430,178.713,-1.7704434587971654,6807.320801
1431,178.838,-1.7673237769076515,6806.98877
1432,178.963,-1.7634403611553287,6807.200195
1433,179.088,-1.7590285017632983,6807.501953
1434,179.213,-1.7544377412457473,6807.171875
1435,179.339,-1.7501032002079813,6807.804199
1436,179.463,-1.7464814489159932,6808.081055
1437,179.587,-1.7439644532519314,6807.04834
1438,179.713,-1.7427960297550007,6808.228027
1439,179.838,-1.743022049496377,6808.712891
1440,179.963,-1.7444889404401973,6807.260254
1441,180.087,-1.7468804889807656,6806.959961
1442,180.213,-1.7497782712880083,6807.744141
1443,180.338,-1.7527368309881863,6808.080566
1444,180.463,-1.7553570664763232,6807.172363
1445,180.588,-1.7573333337297008,6806.751953
1446,180.713,-1.7584671822772315,6807.869629
1447,180.837,-1.7586652113470373,6808.991211
1448,180.963,-1.7579341567680922,6807.507813
1449,181.088,-1.7563647587673195,6807.236816
1450,181.212,-1.7540980436294935,6807.902344
1451,181.338,-1.7512910994790665,6807.720703
1452,181.463,-1.74810344664891,6805.447754
1453,181.588,-1.7447018466086135,6803.637207
1454,181.714,-1.741266331582329,6805.807129
1455,181.838,-1.737989091533449,6805.206543
1456,181.962,-1.7350675332016956,6804.936035
1457,182.09,-1.7326916650057684,6805.992188
1458,182.212,-1.7310291526118988,6806.41748
1459,182.338,-1.7302181481409282,6806.687988
1460,182.463,-1.7303679624321586,6806.870605
1461,182.587,-1.7315488233432164,6805.932129
1462,182.713,-1.733757722678856,6805.20752
1463,182.837,-1.736876147129704,6804.598633
1464,182.962,-1.7406468335936607,6804.783691
1465,183.088,-1.7446787465582654,6804.29834
