序号,时间(s),电压,阻抗
644,80.469,0.277546,6808.778320
645,80.594,0.276620,6809.746094
646,80.719,0.277771,6809.136719
647,80.844,0.277321,6809.262207
648,80.969,0.278196,6809.892090
649,81.094,0.277020,6808.904785
650,81.219,0.278297,6808.865234
651,81.344,0.279097,6809.291504
652,81.469,0.277571,6808.807129
653,81.594,0.277020,6809.136230
654,81.719,0.278597,6809.106445
655,81.844,0.279197,6808.409180
656,81.969,0.277721,6807.953613
657,82.093,0.277245,6809.165039
658,82.219,0.278497,6808.594238
659,82.344,0.278722,6808.709961
660,82.469,0.278221,6808.226074
661,82.594,0.277170,6808.438477
662,82.719,0.278872,6808.865234
663,82.844,0.279297,6807.654785
664,82.969,0.277746,6808.012695
665,83.094,0.276870,6808.495605
666,83.219,0.278872,6808.709961
667,83.344,0.278922,6808.681641
668,83.469,0.277546,6808.652832
669,83.594,0.276545,6808.923340
670,83.719,0.278672,6808.439453
671,83.845,0.279172,6809.319824
672,83.969,0.277346,6809.804199
673,84.094,0.276720,6809.319824
674,84.219,0.275944,6809.533691
675,84.345,0.279122,6809.079102
676,84.469,0.277521,6808.894043
677,84.593,0.276970,6809.377441
678,84.719,0.278196,6810.958008
679,84.843,0.279147,6810.560547
680,84.968,0.277296,6811.256836
681,85.094,0.276620,6811.801270
682,85.219,0.278497,6811.471680
683,85.344,0.278397,6812.229980
684,85.469,0.276870,6811.530762
685,85.593,0.276395,6810.588867
686,85.719,0.278297,6811.045410
687,85.844,0.277746,6811.714355
688,85.968,0.277371,6812.043945
689,86.094,0.276720,6811.229980
690,86.219,0.278021,6811.501465
691,86.344,0.278246,6811.713379
692,86.468,0.276895,6811.228516
693,86.593,0.276920,6810.929199
694,86.719,0.278647,6811.870117
695,86.844,0.278397,6812.314453
696,86.969,0.277270,6812.440430
697,87.093,0.277020,6812.625488
698,87.219,0.279172,6812.354492
699,87.344,0.278797,6812.538086
700,87.469,0.276570,6811.897949
701,87.594,0.276820,6812.053223
702,87.719,0.278747,6810.812012
703,87.844,0.278672,6809.476074
704,87.968,0.277070,6809.533691
705,88.093,0.276745,6809.989258
706,88.218,0.279247,6810.316895
707,88.343,0.278246,6810.531250
708,88.468,0.276670,6810.260742
709,88.594,0.277296,6810.172363
710,88.719,0.279723,6811.414063
711,88.843,0.278997,6811.472656
712,88.968,0.277020,6812.325195
713,89.093,0.277496,6811.871094
714,89.218,0.279448,6810.986328
715,89.343,0.274693,6812.839355
716,89.468,0.276595,6812.925781
717,89.594,0.277546,6812.440918
718,89.720,0.279623,6813.167969
719,89.843,0.277771,6811.897949
720,89.968,0.276895,6813.383789
721,90.094,0.277796,6812.927246
722,90.218,0.279398,6813.138672
723,90.343,0.277496,6813.354004
724,90.468,0.277120,6813.051758
725,90.593,0.277946,6812.111328
726,90.718,0.279548,6812.411621
727,90.844,0.278722,6812.839355
728,90.968,0.276420,6813.138184
729,91.094,0.278171,6813.380859
730,91.218,0.279598,6813.479492
731,91.343,0.277946,6813.352051
732,91.468,0.276920,6812.993652
733,91.594,0.279022,6812.323730
734,91.718,0.279573,6813.449707
735,91.843,0.278497,6813.566406
736,91.968,0.276895,6813.294434
737,92.094,0.278497,6813.235840
738,92.218,0.279648,6813.537109
739,92.343,0.278146,6812.353516
740,92.468,0.277521,6813.896484
741,92.593,0.279047,6812.905762
742,92.718,0.279773,6813.266602
743,92.843,0.278322,6813.624512
744,92.968,0.277496,6813.809082
745,93.094,0.279172,6812.692871
746,93.218,0.279798,6811.724121
747,93.343,0.278071,6812.809570
748,93.468,0.277821,6812.994629
749,93.593,0.279723,6813.838867
750,93.718,0.279623,6813.508301
751,93.843,0.278672,6812.634766
752,93.968,0.278096,6812.720703
753,94.093,0.279598,6813.449707
754,94.218,0.280123,6813.934570
755,94.343,0.278071,6812.906250
756,94.468,0.277871,6813.663086
757,94.593,0.280048,6814.790039
758,94.718,0.279398,6812.936035
759,94.843,0.277796,6813.420898
760,94.968,0.278372,6812.148438
761,95.093,0.279998,6814.148926
762,95.218,0.279723,6814.304199
763,95.343,0.278297,6813.789551
764,95.469,0.278847,6813.759766
765,95.593,0.279898,6812.760742
766,95.718,0.279623,6811.150879
767,95.843,0.277646,6810.152832
768,95.968,0.278447,6811.026855
769,96.093,0.279873,6811.334961
770,96.218,0.279473,6811.848633
771,96.343,0.277546,6811.665527
772,96.468,0.278297,6811.480469
773,96.593,0.279898,6812.179199
774,96.718,0.279473,6812.693359
775,96.843,0.277896,6812.303223
776,96.968,0.277871,6813.546875
777,97.093,0.278722,6813.062500
778,97.218,0.279272,6813.488770
779,97.343,0.277746,6812.973633
780,97.469,0.278447,6812.702148
781,97.593,0.279648,6813.518066
782,97.718,0.278947,6812.974609
783,97.843,0.278271,6813.333008
784,97.968,0.279147,6812.759766
785,98.093,0.280449,6813.604980
786,98.218,0.279498,6813.760254
787,98.343,0.278322,6814.729980
788,98.468,0.279423,6813.915527
789,98.593,0.280524,6812.701660
790,98.718,0.279448,6813.974609
791,98.844,0.278472,6814.486328
792,98.968,0.279197,6813.187012
793,99.093,0.280924,6812.914063
794,99.218,0.280073,6812.604980
795,99.343,0.278522,6813.788574
796,99.468,0.280098,6813.333008
797,99.593,0.278297,6813.002930
798,99.718,0.279773,6813.149414
799,99.843,0.278797,6813.332031
800,99.968,0.279773,6812.848145
801,100.093,0.280574,6813.303711
802,100.218,0.279473,6813.575684
803,100.343,0.278372,6813.304199
804,100.469,0.279648,6813.392090
805,100.593,0.280424,6814.244629
806,100.718,0.279423,6814.303711
807,100.843,0.278146,6813.633301
808,100.967,0.280173,6813.759766
809,101.092,0.280048,6813.575684
810,101.218,0.278797,6813.789551
811,101.343,0.278046,6813.246094
812,101.468,0.279498,6813.091309
813,101.593,0.280198,6813.033203
814,101.717,0.279072,6813.245605
815,101.842,0.277896,6813.304199
816,101.968,0.279948,6813.876953
817,102.092,0.280198,6813.672363
818,102.218,0.278747,6814.003906
819,102.342,0.278322,6813.246094
820,102.468,0.280349,6813.031738
