序号,时间(s),电压(V)
74,0.316,-0.3892811138089278
75,0.32,-0.3929543855916429
76,0.324,-0.3602403194557448
77,0.328,-0.3058577568152446
78,0.332,-0.2477013068832033
79,0.336,-0.20024989094129855
80,0.34,-0.17021187168401744
81,0.344,-0.15527531132304162
82,0.348,-0.1461074665977631
83,0.352,-0.13096754780600117
84,0.356,-0.10150755598930496
85,0.36,-0.057795067572778164
86,0.364,-0.010490240716759709
87,0.368,0.021243145949232323
88,0.372,0.015940047370562975
89,0.376,-0.04198383037862085
90,0.38,-0.15544736986125712
91,0.384,-0.31224925587093283
92,0.388,-0.48790308033626134
93,0.392,-0.6524944390930666
94,0.396,-0.779009275872118
95,0.4,-0.850393145025542
96,0.404,-0.8630850563458534
97,0.408,-0.8258974749860523
98,0.412,-0.7550244761014716
99,0.416,-0.667950895465513
100,0.42,-0.5795636802143835
101,0.424,-0.5019439239020499
102,0.428,-0.4463193666435311
103,0.432,-0.42408564052382414
104,0.436,-0.44507604273701595
105,0.44,-0.51393239702271
106,0.444,-0.6269231980962441
107,0.448,-0.771080343569698
108,0.452,-0.9262373795936696
109,0.456,-1.0694733571752997
110,0.46,-1.1806333609776978
111,0.464,-1.2468650631281728
112,0.468,-1.263953347436488
113,0.472,-1.2336004910617637
114,0.476,-1.1586071187287028
115,0.48,-1.0399256040313516
116,0.484,-0.8783847074546047
117,0.488,-0.6800841439363585
118,0.492,-0.46129805275144514
119,0.496,-0.2487907945421606
120,0.5,-0.07427619265940945
121,0.504,0.0350806646189712
122,0.508,0.06635118157968278
123,0.512,0.026470642705257237
124,0.516,-0.059452735674482775
125,0.52,-0.15737528603747558
126,0.524,-0.23707236579648372
127,0.528,-0.2819139264153495
128,0.532,-0.29101940573795543
129,0.536,-0.2741994963157129
130,0.54,-0.24431316672387027
131,0.544,-0.21193609504855268
132,0.548,-0.18401365998779015
133,0.552,-0.16485596399276758
134,0.556,-0.1573245681906997
135,0.56,-0.1637571001886341
136,0.564,-0.18714032940257508
137,0.568,-0.2320509988965507
138,0.572,-0.3037598597123106
139,0.576,-0.4046941124990209
140,0.58,-0.5296928968411228
141,0.584,-0.6627003701120822
142,0.588,-0.7765587758342131
143,0.592,-0.8362880466952308
144,0.596,-0.8063234867458168
145,0.6,-0.6617333810679185
146,0.604,-0.40037605082212463
147,0.608,-0.04969692818440258
148,0.612,0.3371600234573963
149,0.616,0.6956292610669171
150,0.62,0.9683687810800693
151,0.624,1.1209100468419992
152,0.628,1.1496869035280426
153,0.632,1.0809550458725423
154,0.636,0.9609324721422979
155,0.64,0.8395896631221429
156,0.644,0.7536246126013293
157,0.648,0.7157098254176159
158,0.652,0.7144072681846595
159,0.656,0.7232852084010971
160,0.66,0.7132039533251237
161,0.664,0.6620931085536201
162,0.668,0.5605698123784134
163,0.672,0.4145328233586304
164,0.676,0.2449750150415151
165,0.68,0.08349841233973751
166,0.684,-0.03715446564746473
167,0.688,-0.09517221029225452
168,0.692,-0.08933421003227143
169,0.696,-0.04104723056934348
170,0.7,0.013516408194164947
171,0.704,0.03846192037361772
172,0.708,0.013672363960889314
173,0.712,-0.0563748738086658
174,0.716,-0.14453594080606075
175,0.72,-0.21304198841713923
176,0.724,-0.2309009186605915
177,0.728,-0.18986472493627918
178,0.732,-0.11206550686973525
179,0.736,-0.04423768744941363
180,0.74,-0.03883590465361318
181,0.744,-0.13007699137566314
182,0.748,-0.31672768314107114
183,0.752,-0.5598221337210347
184,0.756,-0.795927951779467
185,0.76,-0.9598406779267041
186,0.764,-1.007219445125566
187,0.768,-0.9288435291016445
188,0.772,-0.7522476727917649
189,0.776,-0.530424208636976
190,0.78,-0.3210438404731506
191,0.784,-0.16407297170101368
192,0.788,-0.06779660243693303
193,0.792,-0.009742754904822615
194,0.796,0.04871298686198862
195,0.8,0.142158393857469
196,0.804,0.2848242626370555
197,0.808,0.4631611041507082
198,0.812,0.6375788880818519
199,0.816,0.7526951340098541
200,0.82,0.754961914650385
201,0.824,0.6128036682653956
202,0.828,0.3311763940038665
203,0.832,-0.045768557022705554
204,0.836,-0.44523908665807543
205,0.84,-0.7861128265587707
206,0.844,-1.0023943992815874
207,0.848,-1.0626658233444366
208,0.852,-0.9798925834225127
209,0.856,-0.8078926262351581
210,0.86,-0.6239969758702737
211,0.864,-0.5027677462370866
212,0.868,-0.4900474623630578
213,0.872,-0.587105352398567
214,0.876,-0.7513775558687877
215,0.88,-0.9142598174814036
216,0.884,-1.0094140851904614
217,0.888,-1.000221546100848
218,0.892,-0.894438635166366
219,0.896,-0.7386769658969187
220,0.9,-0.594758523319678
221,0.904,-0.5096685567674704
222,0.908,-0.49384979761522474
223,0.912,-0.5176062023848017
224,0.916,-0.5267052085326126
225,0.92,-0.4696810178413855
226,0.924,-0.32404933447228634
227,0.928,-0.11000868520320412
228,0.932,0.11307364168293613
229,0.936,0.26534755483612105
230,0.94,0.2737698003589026
231,0.944,0.09852276179136124
232,0.948,-0.25097986922046855
233,0.952,-0.7162944637836363
234,0.956,-1.206319310754521
235,0.96,-1.6239273120325817
236,0.964,-1.8931438972348655
237,0.968,-1.9779250671085222
238,0.972,-1.888121560771161
239,0.976,-1.6725351311965684
240,0.98,-1.4016283854041371
241,0.984,-1.1448854874308885
242,0.988,-0.9499843097982604
243,0.992,-0.830953322751184
244,0.996,-0.7691683619547387
245,1.0,-0.7255298391849186
246,1.004,-0.6580843204284872
247,1.008,-0.5391021980367119
248,1.012,-0.36678752656822516
249,1.016,-0.16706226401664878
250,1.02,0.01680490522834758
251,1.024,0.14262180755406145
252,1.028,0.18632930230912684
253,1.032,0.14921524454024604
254,1.036,0.052945842456418854
255,1.04,-0.07296199056517526
256,1.044,-0.20309954239726674
257,1.048,-0.32179189986665524
258,1.052,-0.42215560831996624
259,1.056,-0.501634048272092
260,1.06,-0.55687751140984
261,1.064,-0.5797865783222504
262,1.068,-0.5560147486234703
263,1.072,-0.4671526094764264
264,1.076,-0.29741893310225864
265,1.08,-0.04361422516929726
266,1.084,0.27563575749258457
267,1.088,0.6156979330541489
268,1.092,0.909331464288271
269,1.096,1.0785469137893684
270,1.1,1.0539195417746015
271,1.104,0.7969884753914332
272,1.108,0.3184802693056661
273,1.112,-0.31495496808581047
274,1.116,-0.9899315299801708
275,1.12,-1.5707994391698257
276,1.124,-1.933092643952984
277,1.128,-1.9961255242628702
278,1.132,-1.7447112092785637
279,1.136,-1.2326249850179123
280,1.14,-0.5659002911810973
281,1.144,0.12877668061101283
282,1.148,0.7397005385754138
283,1.152,1.1976186995173226
284,1.156,1.4865620395190644
285,1.16,1.6368891631403608
286,1.164,1.706059726414098
287,1.168,1.754848065135171
288,1.172,1.8257859073089981
289,1.176,1.9297922669425727
290,1.18,2.0455403399957466
291,1.184,2.131935921361975
292,1.188,2.1483821203711337
293,1.192,2.073800450437019
294,1.196,1.916107004036644
295,1.2,1.7089313499391263
296,1.204,1.498615876154534
297,1.208,1.3278907902583625
298,1.212,1.2222875440863494
299,1.216,1.1831331317621936
300,1.22,1.1880927644539543
301,1.224,1.1979560094009196
302,1.228,1.1678326086683537
303,1.232,1.0606745670703723
304,1.236,0.8596688752143284
305,1.24,0.5755937817122432
306,1.244,0.24694718138672317
307,1.248,-0.06746749449502973
308,1.252,-0.3022777761356215
309,1.256,-0.4020279261937855
310,1.26,-0.33515901608435433
311,1.264,-0.10110814297069683
312,1.268,0.2713883164682336
313,1.272,0.7337626641020004
314,1.276,1.2308594981300713
315,1.28,1.7126623597600075
316,1.284,2.1404091519601653
317,1.288,2.485687432278471
318,1.292,2.7250742423579304
319,1.296,2.8367913363825292
320,1.3,2.805094033598201
321,1.304,2.631500531470378
322,1.308,2.345446495020402
323,1.312,2.006008373652578
324,1.316,1.6907168917169437
325,1.32,1.474052382636489
326,1.324,1.4033079403988808
327,1.328,1.480642029016398
328,1.332,1.6583002482916023
329,1.336,1.8507411452101652
330,1.34,1.961858142911627
331,1.344,1.91850106065311
332,1.348,1.6976934641253847
333,1.352,1.3369936992230496
334,1.356,0.9238101891058095
335,1.36,0.5673230576828889
336,1.364,0.362628033757756
337,1.368,0.3585835572282648
338,1.372,0.5397552873851684
339,1.376,0.8296326370902036
340,1.38,1.1153999605950429
341,1.384,1.2855856044408052
342,1.388,1.2664434346823712
343,1.392,1.043955565312552
344,1.396,0.6647270284398055
345,1.4,0.21778959432360565
346,1.404,-0.19413172056499545
347,1.408,-0.4839905157625335
348,1.412,-0.602209634030279
349,1.416,-0.5449098750075388
350,1.42,-0.34681903549095033
351,1.424,-0.06308977039119304
352,1.428,0.25215108297209465
353,1.432,0.5630631897334708
354,1.436,0.8600094299467569
355,1.44,1.1563955140809896
356,1.444,1.4765595896195707
357,1.448,1.8391582040168397
358,1.452,2.2415203066749676
359,1.456,2.6514049367276638
360,1.46,3.0112682456745117
361,1.464,3.2545879720927466
362,1.468,3.3275197393151874
363,1.472,3.206989802230038
364,1.476,2.9089186894271517
365,1.48,2.484812367065733
366,1.484,2.008118258370666
367,1.488,1.553049269839352
368,1.492,1.1712803943671573
369,1.496,0.876385025520342
370,1.5,0.6456532316119514
371,1.504,0.4401035840288161
372,1.508,0.23231193138669048
373,1.512,0.02706726825279187
374,1.516,-0.1356131330209969
375,1.52,-0.19575337523009906
376,1.524,-0.09928733057784375
377,1.528,0.1754749547076936
378,1.532,0.59917288969572
379,1.536,1.0874343669429363
380,1.54,1.5161912759766722
381,1.544,1.7546114358522324
382,1.548,1.705631726737316
383,1.552,1.338879761816721
384,1.556,0.7028738429793441
385,1.56,-0.08748565656172642
386,1.564,-0.8820395929353968
387,1.568,-1.5344746637850488
388,1.572,-1.9391149927802758
389,1.576,-2.0559621706274145
390,1.58,-1.9163375120519732
391,1.584,-1.6069916639209787
392,1.588,-1.2382031419531287
393,1.592,-0.9072451901891011
394,1.596,-0.6705406165277853
395,1.6,-0.5346262566333715
396,1.604,-0.4674500741350645
397,1.608,-0.42143943849675225
398,1.612,-0.3553394811739078
399,1.616,-0.2463062024336355
400,1.62,-0.09217632832309461
401,1.624,0.09167742680155529
402,1.628,0.2778954088690666
403,1.632,0.4345666247121977
404,1.636,0.533636160203568
405,1.64,0.5576134563168723
406,1.644,0.5022412860050565
407,1.648,0.37535170294002623
408,1.652,0.19404145390130523
409,1.656,-0.01835605067738751
410,1.66,-0.2358325058554366
411,1.664,-0.4342457630029952
412,1.668,-0.5953520664614901
413,1.672,-0.707793492809524
414,1.676,-0.7645110409671894
415,1.68,-0.7592372780352042
416,1.684,-0.6855099175880071
417,1.688,-0.5392226816592453
418,1.692,-0.3227878461612744
419,1.696,-0.04840971900961765
420,1.7,0.26057087482917973
421,1.704,0.5705513329580038
422,1.708,0.8417521549094343
423,1.712,1.0360745626590375
424,1.716,1.1264529143014854
425,1.72,1.1032388042332968
426,1.724,0.9748587012877803
427,1.728,0.7639846958509017
428,1.732,0.5023984331300098
429,1.736,0.22626381551485705
430,1.74,-0.0285651891996454
431,1.744,-0.23154554275939487
432,1.748,-0.361624284630638
433,1.752,-0.4091962343735314
434,1.756,-0.37602118695575026
435,1.76,-0.27450160700558524
436,1.764,-0.12695325245426112
437,1.768,0.036062894017383225
438,1.772,0.1796393447518877
